country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0.0006,,,,,,,,,,,,,,,,,,,,,0.0006
Angola,0.0014,0.0016,0.0017,0.0018,0.002,0.0021,0.0022,0.0023,0.0024,0.0024,0.0025,0.0026,0.0026,0.0026,0.0026,0.0025,0.0025,0.0024,0.0023,0.0023,0.0022,0.0021
Argentina,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0006
Armenia,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0006
Australia,,,,,,,,,,,,,,,,,,,,,,0.0006
Austria,,,,,,,,,,,,,,,,,,,,,,0.0006
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,0.0006
Bahamas,0.0055,0.0049,0.0045,0.0045,0.0045,0.0044,0.0044,0.0043,0.004,0.0039,0.0038,0.0037,0.0035,0.0033,0.003,0.0029,0.0027,0.0026,0.0024,0.0023,0.002,0.0018
Bangladesh,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Barbados,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Belarus,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Belgium,,,,,,,,,,,,,,,,,,,,,,0.0006
