LOCATION,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CHE,79.9,80.4,80.6,80.6,81.2,81.4,81.7,82,82.2,82.3,82.6,82.8,82.8,82.9,83.3,83,83.7,83.6,83.8,
ISL,79.7,80.8,80.6,81,81.1,81.6,81.2,81.5,81.7,81.8,82,82.4,83,82.1,82.9,82.5,82.3,82.7,82.9,
ZAF,56.2,55.2,54.4,53.8,53.5,53.5,53.9,54.5,55.4,56.5,57.7,59,60.1,61.2,62,62.7,63.2,63.6,63.9,
BEL,77.8,78.1,78.2,78.2,79,79.1,79.5,79.9,79.8,80.1,80.3,80.7,80.5,80.7,81.4,81.1,81.5,81.6,81.7,
CHL,76.4,76.7,77,77.2,77.4,77.7,77.9,78.1,78.3,78.6,78.8,79,79.2,79.4,79.6,79.8,80,80.2,80.4,80.6
COL,72.9,73.2,73.5,73.8,74,74.3,74.5,74.7,75,75.2,75.4,75.6,75.9,76.1,76.3,76.5,76.7,76.9,77.1,
SVK,73.4,73.6,73.8,73.8,74.2,74.2,74.4,74.5,75,75.3,75.6,76.1,76.2,76.5,76.9,76.7,77.3,77.3,77.4,
IRL,76.6,77.2,77.7,78.2,78.6,79,79.3,79.7,80.2,80.3,80.8,80.8,80.9,81,81.4,81.5,81.7,82.2,82.3,
IDN,65.8,66,66.3,66.6,67,67.3,67.7,68.1,68.5,68.9,69.2,69.6,69.9,70.2,70.5,70.8,71.1,71.3,71.6,
POL,73.8,74.2,74.6,74.7,74.9,75.1,75.3,75.4,75.7,75.8,76.5,76.8,76.9,77.1,77.7,77.6,78,77.9,77.7,
USA,76.7,76.9,77,77.1,77.6,77.6,77.8,78.1,78.1,78.5,78.6,78.7,78.8,78.8,78.9,78.7,78.7,78.6,78.7,
ESP,79.3,79.8,79.9,79.7,80.4,80.3,81.1,81.2,81.5,81.9,82.4,82.6,82.5,83.2,83.3,82.9,83.4,83.4,83.5,
NOR,78.8,78.9,79,79.6,80.1,80.3,80.6,80.6,80.8,81,81.2,81.4,81.5,81.8,82.2,82.4,82.5,82.7,82.8,
TUR,71.1,71.5,71.9,72.3,72.7,73.1,73.4,73.7,73.9,74.1,74.3,74.6,74.6,78,78,78,78,78.1,78.3,
JPN,81.2,81.5,81.8,81.8,82.1,82,82.4,82.6,82.7,83,82.9,82.7,83.2,83.4,83.7,83.9,84.1,84.2,,
LVA,,,70.1,70.5,70.8,70.6,70.6,70.8,72,72.6,73,73.7,73.9,74.1,74.3,74.6,74.7,74.8,74.9,
AUS,79.3,79.7,80,80.3,80.6,80.9,81.1,81.4,81.5,81.6,81.8,82,82.1,82.2,82.4,82.5,82.5,82.6,82.8,
CHN,71.5,71.8,72.2,72.5,72.8,73.1,73.4,73.6,73.9,74.2,74.5,74.8,75.1,75.4,75.7,76,76.3,76.6,76.8,
DNK,76.9,77,77.1,77.4,77.8,78.3,78.4,78.4,78.8,79,79.3,79.9,80.1,80.4,80.8,80.8,80.9,81.2,81,
CAN,79,79.2,79.4,79.6,79.8,80,80.3,80.4,80.6,80.8,81.1,81.3,81.5,81.7,81.8,81.9,82,82,82,
NZL,78.4,78.7,79,79.3,79.6,79.8,80.1,80.3,80.5,80.7,80.8,81,81.2,81.4,81.5,81.7,81.7,81.9,81.8,
HUN,71.9,72.5,72.5,72.6,73,73,73.5,73.6,74.2,74.4,74.7,75,75.2,75.7,75.9,75.7,76.2,75.9,76.2,
KOR,76,76.5,76.8,77.3,77.8,78.2,78.8,79.2,79.6,80,80.2,80.6,80.9,81.4,81.8,82.1,82.4,82.7,82.7,
IND,62.5,62.9,63.3,63.7,64.1,64.5,64.9,65.4,65.8,66.3,66.7,67.2,67.6,68,68.3,68.7,68.9,69.2,69.5,
MEX,73.3,73.5,73.6,73.8,73.9,74,74.1,74.2,74.1,74,74.1,74.2,74.4,74.6,74.8,75,75.2,75.4,75,
GBR,77.9,78.2,78.3,78.4,79,79.2,79.5,79.7,79.8,80.4,80.6,81,81,81.1,81.4,81,81.2,81.3,81.3,
ITA,79.9,80.2,80.3,80.1,80.9,80.9,81.4,81.5,81.6,81.7,82.1,82.3,82.3,82.8,83.2,82.6,83.3,83,83.4,
CZE,75.1,75.3,75.4,75.3,75.8,76.1,76.7,77,77.3,77.4,77.7,78,78.2,78.3,78.9,78.7,79.1,79.1,79.1,
FRA,79.2,79.3,79.4,79.3,80.3,80.4,81,81.2,81.4,81.5,81.8,82.3,82.1,82.3,82.8,82.4,82.7,82.7,82.8,
