country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,0.0562,0.0683,0.0781,0.116,0.118,0.122,0.118,0.116,0.117
Albania,0.5,0.396,0.392,0.395,0.433,0.361,0.382,0.361,0.359,0.397,0.402,0.394,0.382,0.396,0.412,0.39
Algeria,0.754,0.776,0.743,0.738,0.728,0.733,0.774,0.773,0.787,0.711,0.721,0.744,0.773,0.795,0.793,0.779
Andorra,0.644,0.652,0.662,0.72,0.662,0.648,0.688,0.688,0.686,0.692,0.691,0.704,0.698,0.699,0.701,0.701
Angola,0.868,0.769,0.779,0.73,0.742,0.792,0.855,0.788,0.811,0.76,0.745,0.793,0.802,0.843,0.899,0.825
Antigua and Barbuda,0.665,0.642,0.66,0.68,0.693,0.69,0.655,0.652,0.642,0.634,0.631,0.657,0.664,0.679,0.671,0.71
Argentina,0.598,0.577,0.545,0.542,0.551,0.539,0.542,0.536,0.523,0.523,0.542,0.558,0.594,0.626,0.664,0.546
Armenia,0.31,0.279,0.243,0.285,0.283,0.181,0.267,0.252,0.273,0.254,0.304,0.38,0.416,0.445,0.435,0.406
Australia,0.658,0.653,0.669,0.664,0.684,0.668,0.663,0.669,0.661,0.667,0.669,0.666,0.675,0.68,0.68,0.68
Austria,0.74,0.735,0.757,0.76,0.768,0.768,0.761,0.758,0.755,0.757,0.761,0.76,0.764,0.772,0.777,0.775
Azerbaijan,0.238,0.239,0.224,0.165,0.183,0.185,0.189,0.177,0.127,0.13,0.113,0.142,0.196,0.193,0.231,0.203
Bahamas,0.399,0.401,0.418,0.449,0.468,0.476,0.475,0.471,0.467,0.472,0.443,0.472,0.45,0.452,0.468,0.456
Bahrain,0.696,0.692,0.701,0.688,0.692,0.675,0.67,0.666,0.669,0.672,0.69,0.7,0.707,0.712,0.701,0.733
Bangladesh,0.361,0.362,0.423,0.408,0.399,0.39,0.399,0.397,0.376,0.388,0.349,0.365,0.344,0.317,0.33,0.343
Barbados,0.68,0.683,0.652,0.654,0.654,0.658,0.676,0.684,0.656,0.645,0.644,0.648,0.64,0.655,0.586,0.65
Belarus,0.711,0.753,0.823,0.77,0.765,0.755,0.715,0.705,0.738,0.747,0.729,0.702,0.692,0.651,0.64,0.777
Belgium,0.768,0.782,0.754,0.748,0.746,0.746,0.754,0.738,0.748,0.76,0.759,0.739,0.735,0.75,0.751,0.747
Belize,0.622,0.566,0.58,0.57,0.558,0.528,0.577,0.563,0.574,0.573,0.597,0.61,0.638,0.63,0.638,0.627
Benin,0.45,0.443,0.421,0.442,0.46,0.442,0.493,0.442,0.478,0.477,0.497,0.502,0.51,0.517,0.538,0.495
